week,home,away
12,Detroit Lions,Minnesota Vikings
12,Dallas Cowboys,Washington Redskins
12,Indianapolis Colts,Pittsburgh Steelers
12,Miami Dolphins,San Francisco 49ers
12,Houston Texans,San Diego Chargers
12,Buffalo Bills,Jacksonville Jaguars
12,Cleveland Browns,New York Giants
12,New Orleans Saints,Los Angeles Rams
12,Baltimore Ravens,Cincinnati Bengals
12,Chicago Bears,Tennessee Titans
12,Atlanta Falcons,Arizona Cardinals
12,Tampa Bay Buccaneers,Seattle Seahawks
12,New York Jets,New England Patriots
12,Oakland Raiders,Carolina Panthers
12,Denver Broncos,Kansas City Chiefs
12,Philadelphia Eagles,Green Bay Packers
13,Minnesota Vikings,Dallas Cowboys
13,Chicago Bears,San Francisco 49ers
13,Jacksonville Jaguars,Denver Broncos
13,Baltimore Ravens,Miami Dolphins
13,Green Bay Packers,Houston Texans
13,Atlanta Falcons,Kansas City Chiefs
13,New England Patriots,Los Angeles Rams
13,New Orleans Saints,Detroit Lions
13,Cincinnati Bengals,Philadelphia Eagles
13,Oakland Raiders,Buffalo Bills
13,Arizona Cardinals,Washington Redskins
13,San Diego Chargers,Tampa Bay Buccaneers
13,Pittsburgh Steelers,New York Giants
13,Seattle Seahawks,Carolina Panthers
13,New York Jets,Indianapolis Colts
14,Kansas City Chiefs,Oakland Raiders
14,Tennessee Titans,Denver Broncos
14,Jacksonville Jaguars,Minnesota Vikings
14,Buffalo Bills,Pittsburgh Steelers
14,Detroit Lions,Chicago Bears
14,Carolina Panthers,San Diego Chargers
14,Tampa Bay Buccaneers,New Orleans Saints
14,Philadelphia Eagles,Washington Redskins
14,Miami Dolphins,Arizona Cardinals
14,Indianapolis Colts,Houston Texans
14,Cleveland Browns,Cincinnati Bengals
14,San Francisco 49ers,New York Jets
14,Los Angeles Rams,Atlanta Falcons
14,Green Bay Packers,Seattle Seahawks
14,New York Giants,Dallas Cowboys
14,New England Patriots,Baltimore Ravens
15,Seattle Seahawks,Los Angeles Rams
15,New York Jets,Miami Dolphins
15,Kansas City Chiefs,Tennessee Titans
15,Buffalo Bills,Cleveland Browns
15,Minnesota Vikings,Indianapolis Colts
15,Dallas Cowboys,Tampa Bay Buccaneers
15,New York Giants,Detroit Lions
15,Chicago Bears,Green Bay Packers
15,Houston Texans,Jacksonville Jaguars
15,Baltimore Ravens,Philadelphia Eagles
15,Atlanta Falcons,San Francisco 49ers
15,Arizona Cardinals,New Orleans Saints
15,Denver Broncos,New England Patriots
15,San Diego Chargers,Oakland Raiders
15,Cincinnati Bengals,Pittsburgh Steelers
15,Washington Redskins,Carolina Panthers
16,Philadelphia Eagles,New York Giants
16,Carolina Panthers,Atlanta Falcons
16,Cleveland Browns,San Diego Chargers
16,New Orleans Saints,Tampa Bay Buccaneers
16,Chicago Bears,Washington Redskins
16,Jacksonville Jaguars,Tennessee Titans
16,New England Patriots,New York Jets
16,Green Bay Packers,Minnesota Vikings
16,Buffalo Bills,Miami Dolphins
16,Oakland Raiders,Indianapolis Colts
16,Los Angeles Rams,San Francisco 49ers
16,Seattle Seahawks,Arizona Cardinals
16,Houston Texans,Cincinnati Bengals
16,Pittsburgh Steelers,Baltimore Ravens
16,Kansas City Chiefs,Denver Broncos
16,Dallas Cowboys,Detroit Lions
17,New York Jets,Buffalo Bills
17,Cincinnati Bengals,Baltimore Ravens
17,Indianapolis Colts,Jacksonville Jaguars
17,Washington Redskins,New York Giants
17,Miami Dolphins,New England Patriots
17,Philadelphia Eagles,Dallas Cowboys
17,Atlanta Falcons,New Orleans Saints
17,Tennessee Titans,Houston Texans
17,Tampa Bay Buccaneers,Carolina Panthers
17,Minnesota Vikings,Chicago Bears
17,Pittsburgh Steelers,Cleveland Browns
17,Detroit Lions,Green Bay Packers
17,San Diego Chargers,Kansas City Chiefs
17,Denver Broncos,Oakland Raiders
17,San Francisco 49ers,Seattle Seahawks
17,Los Angeles Rams,Arizona Cardinals
